customer_id,age,gender,region,acquisition_channel,subscription_type,contract_type,tenure_months,monthly_revenue,total_revenue,number_of_products_used,number_of_logins_last_30_days,average_session_duration,feature_usage_score,support_tickets_last_90_days,unresolved_tickets,late_payments,discount_used,payment_method,satisfaction_score,nps_score,last_interaction_days_ago,marketing_email_open_rate,campaign_click_rate,customer_success_calls,renewal_due_in_days,churn
CUST-000027,49,Female,North America,Partner,Basic,Annual,45,43.95,1977.75,3,17,5.42,17.08,3,0,0,False,PayPal,6.1,26,23,0.539,0.216,1,353,0
CUST-000028,47,Female,Asia Pacific,Partner,Professional,Monthly,83,113.01,9379.83,5,20,46.29,48.68,0,0,0,False,ACH,10.0,78,32,0.441,0.098,2,303,0
CUST-000029,47,Female,Europe,Paid Search,Basic,Annual,40,43.22,1728.8,6,22,42.9,40.86,2,0,2,False,Credit Card,9.7,74,62,0.495,0.125,0,361,0
CUST-000030,48,Male,Asia Pacific,Outbound Sales,Enterprise,Two-Year,26,1191.54,30980.04,8,40,38.09,61.74,3,3,0,False,Credit Card,5.2,6,31,0.506,0.092,4,152,0
CUST-000031,70,Male,Asia Pacific,Paid Search,Business,Monthly,51,354.96,18102.96,4,12,29.61,23.08,3,0,1,False,PayPal,8.8,52,18,0.267,0.02,2,256,0
CUST-000032,37,Male,North America,Partner,Basic,Monthly,34,54.12,1840.08,2,21,19.01,39.35,1,1,0,False,Credit Card,9.8,99,63,0.603,0.127,1,209,0
CUST-000033,35,Female,North America,Paid Search,Professional,Monthly,28,88.09,2466.52,1,11,6.52,7.59,3,0,0,False,Invoice,8.7,48,66,0.568,0.073,0,14,0
CUST-000034,31,Female,Asia Pacific,Partner,Enterprise,Monthly,14,500.29,7004.06,4,15,25.44,20.08,2,0,0,True,Credit Card,7.6,46,20,0.507,0.078,0,31,0
CUST-000035,50,Female,Asia Pacific,Outbound Sales,Professional,Annual,96,111.34,10688.64,2,19,7.11,16.23,4,2,0,False,ACH,8.0,53,10,0.111,0.006,0,163,0
CUST-000036,57,Female,North America,Referral,Professional,Two-Year,44,146.36,6439.84,5,20,32.09,45.18,6,5,0,False,Credit Card,4.2,0,41,0.416,0.116,1,361,0
CUST-000037,41,Non-binary,Asia Pacific,Organic Search,Professional,Monthly,4,173.14,692.56,3,8,25.6,33.65,2,0,0,False,Invoice,9.4,96,1,0.291,0.123,0,100,0
CUST-000038,31,Male,North America,Partner,Basic,Two-Year,93,53.65,4989.45,1,15,1.0,11.2,3,0,0,True,ACH,8.9,53,121,0.11,0.005,0,69,0
CUST-000039,31,Male,North America,Organic Search,Professional,Monthly,69,159.07,10975.83,2,24,18.49,42.32,3,0,2,True,Invoice,7.2,37,49,0.171,0.027,1,93,0
CUST-000040,50,Male,North America,Referral,Basic,Two-Year,13,68.14,885.82,1,10,16.48,17.17,6,1,0,True,Credit Card,5.2,5,2,0.135,0.077,1,338,0
CUST-000041,52,Female,Asia Pacific,Social,Business,Monthly,16,306.2,4899.2,8,25,31.81,53.31,1,0,0,False,Invoice,9.4,53,28,0.365,0.024,2,60,0
CUST-000042,49,Female,Europe,Referral,Basic,Two-Year,6,59.19,355.14,2,23,34.72,29.8,4,3,0,False,Credit Card,7.4,21,16,0.447,0.109,0,101,0
CUST-000043,33,Female,Europe,Paid Search,Professional,Two-Year,29,185.13,5368.77,3,12,36.03,26.51,2,0,0,True,Credit Card,7.7,44,18,0.397,0.018,1,185,0
CUST-000044,45,Male,North America,Organic Search,Enterprise,Monthly,20,805.7,16114.0,8,38,59.62,72.94,2,1,0,False,Credit Card,10.0,78,2,0.576,0.253,2,124,0
CUST-000045,44,Female,North America,Paid Search,Professional,Monthly,29,163.44,4739.76,4,34,21.06,45.51,5,0,0,True,ACH,7.0,30,59,0.297,0.041,1,207,0
CUST-000046,45,Female,North America,Partner,Professional,Monthly,21,130.18,2733.78,2,1,33.93,22.71,6,2,0,False,Credit Card,5.9,3,51,0.582,0.021,0,54,0
CUST-000047,53,Male,Europe,Outbound Sales,Professional,Monthly,38,107.47,4083.86,3,6,22.08,14.82,4,1,2,True,Credit Card,8.1,87,129,0.112,0.01,0,39,0
CUST-000048,45,Female,Asia Pacific,Partner,Basic,Two-Year,62,62.39,3868.18,2,25,35.04,34.75,1,0,0,True,Credit Card,8.4,30,16,0.289,0.068,0,213,0
CUST-000049,51,Male,Asia Pacific,Social,Business,Annual,36,443.24,15956.64,4,34,30.27,44.89,1,0,0,True,ACH,8.7,56,61,0.539,0.039,1,361,0
CUST-000050,43,Female,North America,Paid Search,Business,Annual,27,487.99,13175.73,6,35,33.38,65.19,1,0,0,False,Credit Card,9.9,99,25,0.567,0.159,3,215,0
CUST-000051,46,Male,North America,Organic Search,Basic,Annual,32,57.14,1828.48,3,22,20.04,31.55,3,1,0,False,Invoice,5.2,20,1,0.041,0.008,0,338,0
CUST-000052,50,Female,North America,Referral,Professional,Monthly,15,103.45,1551.75,2,28,34.32,48.03,0,0,0,False,Credit Card,9.2,91,87,0.213,0.002,0,362,0
CUST-000053,23,Male,Asia Pacific,Organic Search,Professional,Annual,35,142.47,4986.45,2,21,30.61,39.78,3,1,0,False,Invoice,9.2,68,82,0.658,0.367,0,177,0
CUST-000054,38,Male,Europe,Paid Search,Business,Monthly,6,234.52,1407.12,7,26,33.88,39.93,5,4,2,False,Credit Card,4.5,-34,0,0.554,0.069,1,66,1
CUST-000055,36,Female,Asia Pacific,Organic Search,Professional,Annual,49,155.07,7598.43,3,35,25.46,35.55,1,0,0,False,Invoice,7.3,26,43,0.441,0.228,1,172,0
CUST-000056,34,Male,North America,Partner,Professional,Annual,15,119.79,1796.85,4,25,20.39,34.56,3,0,1,True,Credit Card,8.6,19,6,0.53,0.035,1,179,0
CUST-000057,38,Male,Europe,Paid Search,Enterprise,Annual,23,995.88,22905.24,4,23,35.6,48.6,3,0,0,False,Credit Card,7.8,21,61,0.449,0.093,0,334,0
CUST-000058,61,Male,Europe,Social,Basic,Monthly,20,54.25,1085.0,2,5,13.65,25.71,4,1,0,True,Credit Card,7.4,18,37,0.385,0.032,2,133,0
CUST-000059,31,Male,Europe,Outbound Sales,Business,Annual,21,426.76,8961.96,8,43,46.36,70.68,2,0,0,False,ACH,6.7,23,9,0.57,0.069,2,58,0
CUST-000060,55,Male,Europe,Referral,Professional,Monthly,14,93.7,1311.8,4,16,29.28,20.89,2,0,2,False,Credit Card,8.0,38,12,0.61,0.1,1,303,0
CUST-000061,20,Female,North America,Paid Search,Basic,Monthly,36,47.62,1714.32,4,16,45.33,28.42,2,1,0,True,ACH,7.4,57,7,0.385,0.141,0,182,0
CUST-000062,38,Female,Europe,Organic Search,Enterprise,Annual,22,1107.37,24362.14,4,12,18.71,28.51,1,0,0,False,Credit Card,9.4,51,180,0.178,0.027,2,352,0
CUST-000063,44,Female,Middle East & Africa,Referral,Business,Monthly,39,268.56,10473.84,4,24,27.65,37.49,3,0,1,False,Credit Card,9.0,71,7,0.445,0.062,1,124,0
CUST-000064,50,Male,North America,Organic Search,Professional,Monthly,39,121.17,4725.63,4,18,38.4,41.37,3,0,1,False,Invoice,7.4,37,14,0.217,0.009,0,343,0
CUST-000065,51,Non-binary,Asia Pacific,Partner,Professional,Two-Year,13,155.39,2020.07,2,9,29.51,21.29,0,0,0,True,Invoice,7.0,24,42,0.316,0.092,0,124,0
CUST-000066,52,Male,Latin America,Organic Search,Professional,Monthly,19,109.15,2073.85,2,9,14.95,11.29,2,0,0,False,Invoice,8.3,88,17,0.172,0.058,0,17,0
CUST-000067,37,Female,Europe,Partner,Basic,Monthly,69,54.17,3737.73,2,16,26.99,22.73,4,0,0,False,Credit Card,7.0,57,106,0.541,0.055,1,184,0
CUST-000068,36,Non-binary,Europe,Partner,Business,Monthly,50,222.21,11110.5,3,11,37.2,26.61,3,2,0,False,Credit Card,7.2,40,5,0.787,0.036,0,57,0
CUST-000069,53,Male,North America,Partner,Professional,Monthly,49,105.24,5156.76,3,24,33.67,34.87,3,0,0,False,Credit Card,7.6,13,81,0.335,0.184,0,275,0
CUST-000070,40,Female,Asia Pacific,Referral,Professional,Monthly,8,100.23,801.84,2,9,16.5,18.34,2,0,0,False,Credit Card,7.7,46,97,0.264,0.114,1,119,0
CUST-000071,25,Male,Latin America,Organic Search,Business,Monthly,65,221.73,14412.45,2,12,19.23,34.62,2,0,2,False,Invoice,8.9,58,38,0.507,0.116,2,221,0
CUST-000072,27,Female,Middle East & Africa,Paid Search,Professional,Monthly,44,119.7,5266.8,4,12,20.47,32.81,6,3,1,False,ACH,3.0,-37,5,0.183,0.012,1,138,0
CUST-000073,30,Male,North America,Paid Search,Basic,Monthly,44,36.47,1604.68,2,30,18.77,40.8,2,2,0,True,PayPal,7.1,65,33,0.196,0.012,3,242,0
CUST-000074,48,Male,Latin America,Referral,Basic,Monthly,30,39.19,1175.7,4,21,29.32,27.27,4,3,2,False,Invoice,6.0,26,45,0.31,0.023,0,75,0
CUST-000075,44,Male,Europe,Organic Search,Enterprise,Annual,24,1221.58,29317.92,6,25,39.24,49.86,6,1,0,False,Credit Card,5.2,-2,11,0.619,0.147,5,150,0
CUST-000076,51,Female,Europe,Outbound Sales,Professional,Monthly,23,75.32,1732.36,2,9,25.27,45.71,2,0,1,True,Invoice,6.7,13,6,0.544,0.019,0,316,0
CUST-000077,36,Female,North America,Paid Search,Professional,Monthly,40,129.29,5171.6,4,33,31.71,50.15,6,2,0,False,ACH,4.9,-35,1,0.466,0.166,0,178,0
CUST-000078,44,Male,North America,Organic Search,Professional,Annual,53,172.24,9128.72,4,26,28.44,44.02,4,1,0,True,ACH,7.0,21,30,0.633,0.033,0,58,0
CUST-000079,50,Male,Europe,Partner,Professional,Monthly,19,123.08,2338.52,5,31,20.11,43.79,6,3,0,True,Invoice,6.0,-4,70,0.335,0.013,2,42,0
CUST-000080,38,Female,Europe,Paid Search,Professional,Annual,18,155.98,2807.64,4,26,30.47,45.13,4,1,1,False,Credit Card,6.5,12,4,0.176,0.007,1,220,0
CUST-000081,48,Female,Middle East & Africa,Paid Search,Enterprise,Monthly,11,1453.87,15992.57,5,30,46.08,56.1,3,0,0,False,Credit Card,9.3,80,3,0.171,0.01,1,106,0
CUST-000082,33,Non-binary,North America,Organic Search,Professional,Annual,41,142.15,5828.15,3,17,34.21,48.21,2,0,1,False,PayPal,7.9,25,1,0.438,0.09,0,292,0
CUST-000083,37,Male,Latin America,Partner,Basic,Monthly,68,49.13,3340.84,2,23,8.83,32.67,3,3,1,False,ACH,4.9,-18,61,0.447,0.057,0,106,0
CUST-000084,37,Female,Europe,Paid Search,Enterprise,Monthly,29,1135.47,32928.63,5,32,33.6,58.2,3,1,1,False,Credit Card,7.0,25,2,0.435,0.021,1,184,0
CUST-000085,26,Female,North America,Organic Search,Basic,Monthly,39,40.22,1568.58,2,22,20.32,22.77,4,0,1,True,Credit Card,6.5,1,33,0.776,0.17,0,9,0
CUST-000086,48,Female,North America,Paid Search,Enterprise,Monthly,24,775.21,18605.04,7,37,47.82,62.5,5,0,0,False,Credit Card,8.7,39,6,0.593,0.021,3,42,0
CUST-000087,36,Male,Asia Pacific,Referral,Business,Monthly,13,309.15,4018.95,4,22,28.54,33.68,4,2,0,True,Invoice,6.2,15,1,0.333,0.056,2,365,1
CUST-000088,42,Male,Asia Pacific,Referral,Business,Annual,54,346.51,18711.54,4,23,47.4,34.49,3,0,0,False,ACH,9.4,74,7,0.572,0.007,1,243,0
CUST-000089,48,Male,North America,Paid Search,Basic,Annual,16,41.15,658.4,2,19,21.56,22.07,5,1,0,False,PayPal,6.0,42,161,0.793,0.322,0,349,0
CUST-000090,48,Female,Europe,Social,Basic,Annual,73,40.43,2951.39,3,25,9.86,24.77,8,1,0,False,PayPal,5.8,-7,11,0.28,0.071,0,12,0
CUST-000091,51,Male,Europe,Organic Search,Basic,Monthly,50,31.46,1573.0,1,15,24.8,27.34,3,0,1,False,Credit Card,7.3,30,8,0.349,0.038,0,182,0
CUST-000092,41,Female,Europe,Outbound Sales,Professional,Monthly,24,102.23,2453.52,8,42,53.81,72.81,1,1,0,False,ACH,9.5,80,41,0.248,0.103,1,220,0
CUST-000093,36,Male,Europe,Social,Business,Monthly,41,236.82,9709.62,6,32,34.64,51.8,2,2,0,False,Invoice,9.7,68,42,0.503,0.048,2,174,0
CUST-000094,41,Female,Asia Pacific,Partner,Professional,Annual,49,150.11,7355.39,2,11,22.05,14.68,2,0,0,False,Credit Card,6.9,4,180,0.761,0.166,0,242,0
CUST-000095,20,Female,North America,Organic Search,Basic,Monthly,9,59.23,533.07,3,11,30.65,23.5,1,1,0,False,PayPal,9.3,83,29,0.162,0.036,0,117,0
CUST-000096,23,Female,North America,Social,Basic,Annual,18,58.02,1044.36,3,22,16.79,45.58,4,0,0,True,ACH,7.8,17,10,0.114,0.034,1,51,0
CUST-000097,25,Female,North America,Paid Search,Professional,Two-Year,32,137.21,4390.72,5,22,41.17,62.44,3,1,1,False,ACH,8.7,64,3,0.537,0.059,2,39,0
CUST-000098,29,Female,Latin America,Organic Search,Basic,Monthly,27,66.27,1789.29,3,31,24.15,47.93,6,0,1,True,Credit Card,5.9,9,5,0.228,0.008,3,308,0
CUST-000099,47,Male,Europe,Outbound Sales,Business,Annual,22,325.92,7170.24,4,23,22.07,40.01,6,1,0,False,Credit Card,4.4,-9,35,0.325,0.081,2,140,0
CUST-000100,30,Male,North America,Paid Search,Basic,Annual,18,48.96,881.28,4,17,32.95,31.6,2,1,1,False,Credit Card,8.3,42,39,0.326,0.003,0,318,0
CUST-000101,37,Male,Asia Pacific,Partner,Professional,Annual,32,128.98,4127.36,1,5,9.96,10.89,6,3,0,True,ACH,4.9,13,31,0.494,0.027,0,31,0
CUST-000102,59,Male,Europe,Partner,Business,Annual,17,431.37,7333.29,5,34,48.84,66.31,5,2,1,False,ACH,4.0,-14,3,0.693,0.066,1,209,0
CUST-000103,37,Female,North America,Outbound Sales,Professional,Monthly,22,94.52,2079.44,5,14,38.96,28.57,7,0,1,False,PayPal,4.1,0,29,0.33,0.072,0,184,0
CUST-000104,52,Male,North America,Partner,Business,Annual,19,482.04,9158.76,7,32,52.4,53.97,1,0,1,False,Credit Card,10.0,95,21,0.216,0.016,0,245,0
CUST-000105,30,Female,Asia Pacific,Outbound Sales,Business,Monthly,55,181.12,9961.6,4,28,6.49,41.09,5,0,2,True,Credit Card,8.0,55,62,0.345,0.138,5,294,0
CUST-000106,39,Female,Asia Pacific,Organic Search,Basic,Two-Year,20,53.94,1078.8,1,0,18.36,13.18,4,0,0,True,Credit Card,6.0,46,42,0.249,0.009,0,194,0
CUST-000107,30,Female,North America,Referral,Basic,Annual,68,62.08,4221.44,2,10,34.55,29.82,4,1,0,False,PayPal,6.4,34,3,0.651,0.156,2,349,0
CUST-000108,38,Female,North America,Partner,Business,Monthly,21,476.78,10012.38,5,19,25.08,27.26,3,1,0,False,Credit Card,6.4,-18,7,0.158,0.052,2,236,0
CUST-000109,53,Male,North America,Paid Search,Professional,Annual,78,175.77,13710.06,8,53,59.69,83.01,5,5,0,False,Invoice,5.2,11,31,0.447,0.166,0,127,0
CUST-000110,20,Female,Asia Pacific,Organic Search,Enterprise,Annual,24,1211.11,29066.64,5,25,29.82,45.98,1,0,2,False,ACH,9.6,41,9,0.427,0.023,4,86,0
CUST-000111,48,Female,North America,Organic Search,Basic,Annual,31,45.26,1403.06,2,19,21.02,24.09,2,0,1,False,Credit Card,9.5,50,0,0.315,0.099,1,274,0
CUST-000112,45,Male,North America,Paid Search,Enterprise,Monthly,28,797.26,22323.28,6,41,32.83,57.34,3,2,1,False,Credit Card,7.3,41,27,0.585,0.009,4,84,0
CUST-000113,34,Female,Europe,Referral,Enterprise,Annual,26,1247.25,32428.5,8,33,54.6,64.11,2,0,0,False,Invoice,9.0,57,15,0.526,0.18,4,290,0
CUST-000114,23,Male,Middle East & Africa,Paid Search,Basic,Annual,2,61.14,122.28,3,2,29.78,26.54,2,1,1,False,Credit Card,8.5,61,28,0.595,0.118,1,356,0
CUST-000115,43,Female,Europe,Referral,Basic,Annual,24,49.25,1182.0,4,5,37.33,14.98,1,0,1,False,PayPal,8.0,67,98,0.521,0.051,1,314,0
CUST-000116,35,Male,Europe,Outbound Sales,Professional,Annual,8,125.79,1006.32,3,11,15.79,31.87,5,2,0,True,Credit Card,4.8,-4,5,0.19,0.083,0,78,0
CUST-000117,45,Male,Europe,Referral,Professional,Monthly,23,143.18,3293.14,5,30,44.86,48.72,2,0,0,False,Invoice,8.0,47,27,0.333,0.018,0,7,0
CUST-000118,42,Female,Asia Pacific,Outbound Sales,Basic,Monthly,13,53.08,690.04,1,23,8.78,21.23,4,0,0,True,Invoice,7.7,43,18,0.232,0.052,1,107,0
CUST-000119,63,Male,Latin America,Partner,Basic,Monthly,12,49.03,588.36,2,19,28.7,28.77,1,0,1,False,Credit Card,8.7,76,11,0.185,0.001,0,236,0
CUST-000120,39,Female,Middle East & Africa,Social,Business,Annual,7,318.62,2230.34,6,23,51.12,60.94,1,0,1,False,Credit Card,10.0,71,20,0.491,0.128,0,328,0
CUST-000121,29,Female,Europe,Referral,Basic,Monthly,64,49.52,3169.28,2,12,17.84,35.43,4,0,1,False,Credit Card,6.7,9,72,0.316,0.018,1,146,0
CUST-000122,44,Male,Europe,Paid Search,Business,Two-Year,17,389.9,6628.3,3,32,28.93,53.86,1,1,0,False,Credit Card,6.7,7,38,0.536,0.059,3,293,0
CUST-000123,45,Male,North America,Referral,Basic,Monthly,24,44.97,1079.28,2,35,20.61,33.21,3,0,1,False,PayPal,9.1,73,75,0.686,0.136,1,160,0
CUST-000124,60,Female,Asia Pacific,Referral,Business,Monthly,21,325.72,6840.12,4,23,9.32,26.14,4,0,1,True,Credit Card,7.2,22,42,0.345,0.025,0,218,0
CUST-000125,53,Female,Europe,Referral,Basic,Two-Year,22,66.72,1467.84,2,20,30.4,21.42,1,0,1,False,Invoice,7.1,24,95,0.363,0.06,1,264,0
CUST-000126,47,Female,North America,Paid Search,Basic,Monthly,63,25.68,1617.84,1,16,14.7,4.11,8,4,0,False,ACH,4.7,-19,44,0.234,0.033,0,198,0
CUST-000127,61,Male,Europe,Partner,Business,Monthly,60,381.84,22910.4,5,26,34.88,48.53,3,0,0,True,Credit Card,7.0,33,31,0.244,0.099,5,14,0
CUST-000128,27,Non-binary,North America,Outbound Sales,Basic,Monthly,12,54.75,657.0,4,22,41.53,49.32,4,0,1,False,Credit Card,7.5,20,10,0.626,0.009,1,221,0
CUST-000129,34,Female,Asia Pacific,Social,Basic,Annual,27,60.53,1634.31,2,6,21.11,27.95,1,0,0,False,ACH,8.8,69,4,0.131,0.007,1,17,0
CUST-000130,30,Prefer not to say,North America,Paid Search,Professional,Monthly,43,125.12,5380.16,2,11,24.09,30.97,2,1,0,False,Invoice,7.8,58,45,0.435,0.091,1,133,0
CUST-000131,37,Female,North America,Partner,Professional,Annual,17,103.4,1757.8,3,21,45.97,36.2,2,1,0,True,Credit Card,8.9,56,12,0.539,0.088,1,145,0
CUST-000132,24,Male,North America,Paid Search,Professional,Annual,27,160.36,4329.72,8,44,56.82,74.63,1,1,0,True,ACH,8.0,16,9,0.404,0.174,1,291,0
CUST-000133,50,Male,North America,Referral,Basic,Monthly,13,39.74,516.62,1,12,23.54,7.06,1,1,1,True,Invoice,8.1,46,180,0.389,0.166,0,22,0
CUST-000134,39,Male,North America,Organic Search,Enterprise,Annual,12,951.58,11418.96,8,54,49.06,78.98,2,2,0,False,Credit Card,6.7,32,30,0.314,0.053,2,190,0
CUST-000135,23,Female,Asia Pacific,Social,Basic,Two-Year,28,80.38,2250.64,4,16,37.75,33.98,6,2,1,True,Credit Card,6.6,-27,19,0.172,0.007,0,181,0
CUST-000136,29,Female,Asia Pacific,Partner,Business,Annual,12,385.7,4628.4,4,23,41.48,41.23,4,1,1,False,ACH,8.3,56,19,0.33,0.01,2,67,0
CUST-000137,46,Female,Europe,Paid Search,Business,Monthly,31,294.17,9119.27,4,29,31.88,47.01,1,0,1,False,Credit Card,10.0,97,3,0.245,0.013,0,222,0
CUST-000138,53,Male,Europe,Organic Search,Basic,Annual,29,48.56,1408.24,4,19,20.99,51.68,3,2,0,False,Credit Card,6.3,1,41,0.551,0.064,0,188,0
CUST-000139,68,Prefer not to say,Latin America,Partner,Professional,Monthly,34,119.91,4076.94,2,25,26.93,29.85,3,1,0,False,ACH,5.8,-35,53,0.262,0.026,0,222,0
CUST-000140,78,Female,Latin America,Partner,Professional,Monthly,11,96.72,1063.92,3,34,35.29,52.09,1,0,1,False,ACH,10.0,76,32,0.267,0.067,0,119,0
CUST-000141,47,Female,Europe,Referral,Professional,Annual,8,74.07,592.56,4,13,28.34,25.13,1,0,0,True,ACH,8.3,59,1,0.365,0.047,1,306,0
CUST-000142,29,Female,Europe,Partner,Business,Annual,81,288.84,23396.04,8,36,47.29,65.55,3,0,1,True,Credit Card,6.3,27,29,0.504,0.05,1,97,0
CUST-000143,18,Male,Asia Pacific,Partner,Professional,Monthly,25,114.98,2874.5,5,16,29.35,30.83,1,0,0,False,Credit Card,8.0,49,71,0.476,0.135,0,162,0
CUST-000144,45,Male,Asia Pacific,Paid Search,Business,Annual,37,418.55,15486.35,2,7,30.69,21.41,4,0,1,False,Credit Card,6.8,20,8,0.367,0.037,0,336,0
CUST-000145,31,Female,North America,Organic Search,Basic,Monthly,28,51.4,1439.2,3,28,24.31,32.6,0,0,0,False,Credit Card,9.7,99,40,0.327,0.117,2,193,0
CUST-000146,37,Male,Europe,Paid Search,Business,Monthly,24,354.64,8511.36,4,28,28.24,49.68,4,1,1,False,Credit Card,7.7,53,58,0.33,0.031,0,194,0
CUST-000147,34,Female,North America,Paid Search,Professional,Two-Year,29,132.84,3852.36,3,14,24.56,5.79,3,0,0,True,ACH,8.0,24,102,0.298,0.052,3,302,0
CUST-000148,40,Male,Asia Pacific,Referral,Enterprise,Monthly,17,965.84,16419.28,6,34,47.03,70.34,1,0,0,False,Credit Card,7.0,22,70,0.547,0.2,3,86,0
CUST-000149,56,Female,Europe,Organic Search,Business,Annual,26,412.29,10719.54,4,11,39.27,36.98,1,0,0,False,ACH,8.1,79,8,0.51,0.041,2,346,0
CUST-000150,44,Female,Middle East & Africa,Referral,Basic,Monthly,46,52.06,2394.76,2,18,26.3,37.3,3,1,1,False,ACH,6.8,19,0,0.438,0.207,1,143,0
CUST-000151,40,Male,North America,Organic Search,Business,Monthly,24,273.27,6558.48,3,17,26.65,19.83,4,1,0,False,Invoice,7.3,42,7,0.542,0.14,2,255,0
CUST-000152,29,Male,Europe,Organic Search,Professional,Monthly,67,130.87,8768.29,1,16,13.3,9.23,4,3,1,False,Credit Card,5.1,-20,5,0.325,0.048,0,189,0
