age,gender,region,acquisition_channel,subscription_type,contract_type,tenure_months,monthly_revenue,total_revenue,number_of_products_used,number_of_logins_last_30_days,average_session_duration,feature_usage_score,support_tickets_last_90_days,unresolved_tickets,late_payments,discount_used,payment_method,satisfaction_score,nps_score,last_interaction_days_ago,marketing_email_open_rate,campaign_click_rate,customer_success_calls,renewal_due_in_days,engagement_score,support_pressure_score,payment_risk_score,revenue_per_product,customer_age_group,tenure_group,renewal_risk_flag,high_value_customer_flag,churn
37,Male,Europe,Referral,Professional,Monthly,41,157.03,6438.23,4,32,23.28,56.06,1,0,1,False,Credit Card,9.1,58,3,0.496,0.243,1,107,41.88,11.6,18,39.26,30-44,Long-Term,False,False,0
33,Female,North America,Partner,Business,Two-Year,45,391.1,17599.5,2,9,19.71,33.52,5,1,0,False,Credit Card,7.9,67,36,0.245,0.018,1,260,19.74,66.4,0,195.55,30-44,Long-Term,False,True,0
40,Male,North America,Partner,Basic,Monthly,9,43.67,393.03,2,17,28.11,20.58,3,1,1,False,Credit Card,7.0,28,33,0.286,0.062,0,164,21.53,54.0,18,21.84,30-44,Developing,False,False,0
50,Female,Asia Pacific,Outbound Sales,Professional,Annual,24,163.22,3917.28,7,34,41.68,51.0,4,1,0,False,Credit Card,8.2,38,30,0.59,0.032,1,319,42.98,57.2,0,23.32,45-59,Established,False,False,0
37,Male,North America,Referral,Professional,Annual,57,134.78,7682.46,6,39,49.87,59.11,2,1,0,False,Credit Card,8.7,42,48,0.557,0.095,0,285,49.19,39.2,0,22.46,30-44,Long-Term,False,False,0
52,Female,North America,Partner,Enterprise,Two-Year,6,1636.19,9817.14,5,27,39.78,42.21,2,0,0,True,PayPal,7.8,35,9,0.599,0.278,3,108,39.53,24.8,8,327.24,45-59,New,False,True,0
40,Male,Asia Pacific,Partner,Professional,Annual,65,117.61,7644.65,5,26,41.37,34.52,3,2,0,True,ACH,8.2,65,10,0.368,0.074,0,100,32.68,67.2,8,23.52,30-44,Long-Term,False,False,0
68,Male,North America,Organic Search,Basic,Two-Year,15,71.78,1076.7,2,7,2.46,1.82,5,0,1,False,ACH,8.8,58,40,0.195,0.109,1,1,7.04,44.8,18,35.89,60+,Developing,True,False,0
28,Female,Asia Pacific,Paid Search,Professional,Annual,17,151.95,2583.15,1,12,2.98,21.11,5,2,0,False,PayPal,6.0,20,92,0.229,0.009,0,241,14.43,92.0,0,151.95,18-29,Developing,False,False,0
49,Non-binary,Europe,Referral,Professional,Annual,64,144.9,9273.6,5,42,40.12,57.14,1,0,2,True,Credit Card,8.8,32,15,0.768,0.122,2,199,50.75,12.8,44,28.98,45-59,Long-Term,False,False,0
55,Female,Europe,Paid Search,Business,Monthly,35,414.82,14518.7,4,24,44.77,49.4,3,3,0,False,PayPal,6.9,17,20,0.361,0.176,3,113,37.76,90.4,0,103.7,45-59,Established,False,True,0
50,Female,Latin America,Referral,Basic,Monthly,23,48.43,1113.89,6,27,35.8,54.46,1,0,0,True,ACH,8.2,39,58,0.295,0.043,0,333,37.18,15.2,8,8.07,45-59,Established,False,False,0
54,Male,North America,Paid Search,Professional,Annual,33,147.51,4867.83,2,16,1.0,12.07,1,0,0,False,Credit Card,8.5,53,20,0.317,0.054,2,212,14.49,14.0,0,73.76,45-59,Established,False,False,0
61,Prefer not to say,North America,Organic Search,Business,Monthly,24,197.94,4750.56,8,36,59.26,83.03,3,0,0,False,ACH,7.0,24,37,0.45,0.092,3,233,55.44,36.0,0,24.74,60+,Established,False,False,0
18,Non-binary,Europe,Organic Search,Professional,Monthly,24,95.79,2298.96,3,15,33.93,41.79,2,1,0,False,ACH,8.6,52,87,0.73,0.172,0,277,33.48,39.6,0,31.93,18-29,Established,False,False,0
36,Non-binary,Europe,Paid Search,Basic,Monthly,15,41.47,622.05,4,17,37.3,29.53,3,1,0,False,Invoice,6.4,34,63,0.583,0.014,0,51,28.16,56.4,0,10.37,30-44,Developing,False,False,0
36,Male,Latin America,Paid Search,Professional,Two-Year,65,134.88,8767.2,3,31,27.5,50.79,6,1,1,True,Credit Card,6.3,7,20,0.405,0.036,0,293,37.55,80.8,26,44.96,30-44,Long-Term,False,False,0
48,Non-binary,North America,Referral,Basic,Monthly,16,53.35,853.6,1,6,20.83,27.05,3,0,3,False,ACH,7.3,52,50,0.464,0.02,2,231,18.87,34.8,54,53.35,45-59,Developing,False,False,0
56,Male,Europe,Social,Enterprise,Annual,15,1415.01,21225.15,2,0,10.56,11.79,1,0,0,False,Credit Card,8.3,66,15,0.454,0.037,0,326,10.11,14.8,0,707.5,45-59,Developing,False,True,0
67,Female,Middle East & Africa,Referral,Professional,Monthly,26,117.02,3042.52,5,28,36.59,54.41,6,3,0,False,Credit Card,4.1,-48,11,0.694,0.06,3,145,41.89,100.0,0,23.4,60+,Established,False,False,0
43,Female,North America,Organic Search,Professional,Two-Year,20,149.15,2983.0,4,23,35.11,37.27,4,0,0,False,Credit Card,6.0,-24,44,0.466,0.069,0,234,32.14,48.0,0,37.29,30-44,Established,False,False,0
41,Male,North America,Paid Search,Basic,Annual,27,48.9,1320.3,4,37,16.65,53.57,4,1,0,False,ACH,8.1,34,117,0.197,0.025,2,52,37.11,57.6,0,12.22,30-44,Established,False,False,0
26,Female,Asia Pacific,Organic Search,Basic,Monthly,33,60.91,2010.03,2,15,33.05,21.15,2,1,2,False,Invoice,7.1,4,50,0.42,0.1,0,46,23.33,45.6,36,30.46,18-29,Established,False,False,0
35,Female,North America,Paid Search,Professional,Two-Year,46,205.25,9441.5,5,23,38.47,46.98,3,3,0,False,Credit Card,7.1,40,12,0.679,0.079,2,162,37.81,89.6,0,41.05,30-44,Long-Term,False,False,0
40,Male,Asia Pacific,Paid Search,Business,Monthly,33,344.07,11354.31,5,28,33.13,53.54,4,0,0,False,ACH,7.7,38,95,0.426,0.183,2,128,39.63,41.2,0,68.81,30-44,Established,False,True,0
18,Female,Middle East & Africa,Organic Search,Professional,Monthly,53,79.17,4196.01,3,7,29.55,12.91,4,0,0,False,ACH,6.3,28,44,0.326,0.081,1,203,15.67,46.8,0,26.39,18-29,Long-Term,False,False,1
25,Male,Asia Pacific,Organic Search,Enterprise,Annual,21,922.93,19381.53,5,24,25.58,39.25,3,2,0,False,PayPal,8.4,45,49,0.704,0.108,3,129,34.43,66.4,0,184.59,18-29,Established,False,True,0
27,Male,North America,Paid Search,Basic,Annual,9,54.76,492.84,3,21,27.75,31.15,3,0,0,False,ACH,9.8,69,52,0.289,0.046,0,214,26.26,24.8,0,18.25,18-29,Developing,False,False,0
58,Male,North America,Referral,Professional,Monthly,96,94.25,9048.0,1,18,39.43,25.05,5,1,1,False,PayPal,7.2,18,45,0.294,0.059,1,177,25.15,69.2,18,94.25,45-59,Long-Term,False,False,0
37,Female,North America,Partner,Business,Monthly,28,287.08,8038.24,8,22,41.3,54.63,5,0,0,False,Credit Card,7.7,39,2,0.512,0.11,0,56,38.76,49.2,0,35.88,30-44,Established,False,False,0
55,Male,Europe,Partner,Professional,Annual,12,132.25,1587.0,4,25,31.96,41.12,0,0,0,False,ACH,9.7,76,12,0.326,0.029,1,191,31.87,1.2,0,33.06,45-59,Developing,False,False,0
26,Female,Europe,Outbound Sales,Professional,Monthly,33,120.93,3990.69,4,29,27.71,53.69,3,0,0,False,Credit Card,8.4,50,17,0.166,0.064,0,306,35.47,30.4,0,30.23,18-29,Established,False,False,0
21,Female,Asia Pacific,Outbound Sales,Professional,Monthly,33,118.53,3911.49,5,22,30.43,32.3,2,1,0,True,Credit Card,7.7,43,10,0.25,0.033,1,138,26.95,43.2,8,23.71,18-29,Established,False,False,0
43,Male,North America,Outbound Sales,Basic,Annual,30,50.63,1518.9,2,12,22.05,20.99,3,0,0,True,Credit Card,7.8,45,2,0.388,0.005,2,172,18.96,32.8,8,25.32,30-44,Established,False,False,0
18,Female,Europe,Paid Search,Enterprise,Two-Year,30,1065.29,31958.7,3,18,27.34,34.38,3,1,0,False,Invoice,7.7,76,19,0.134,0.007,2,80,23.92,51.2,0,355.1,18-29,Established,False,True,0
44,Female,Europe,Organic Search,Enterprise,Two-Year,26,1320.4,34330.4,8,24,49.77,54.57,3,0,1,False,Invoice,7.8,32,10,0.449,0.279,5,31,42.01,32.8,18,165.05,30-44,Established,True,True,0
57,Female,North America,Paid Search,Business,Monthly,17,441.21,7500.57,6,32,42.19,54.73,0,0,0,False,Credit Card,10.0,84,14,0.188,0.069,3,92,39.65,0.0,0,73.54,45-59,Developing,False,True,0
35,Male,North America,Outbound Sales,Basic,Monthly,18,39.14,704.52,2,14,18.63,14.95,3,2,1,False,Invoice,5.6,1,7,0.479,0.1,0,107,19.34,77.6,18,19.57,30-44,Developing,False,False,0
63,Male,Europe,Organic Search,Professional,Annual,18,106.6,1918.8,4,5,34.51,38.04,1,0,0,False,Invoice,9.7,59,27,0.503,0.109,0,132,25.17,9.2,0,26.65,60+,Developing,False,False,0
60,Female,North America,Outbound Sales,Business,Monthly,21,316.93,6655.53,4,15,26.69,39.74,3,2,1,False,Invoice,8.3,60,15,0.473,0.099,0,10,28.42,66.8,18,79.23,60+,Established,True,True,0
26,Female,North America,Referral,Professional,Monthly,26,117.87,3064.62,2,8,18.18,9.65,0,0,0,True,Invoice,8.9,61,90,0.015,0.001,0,212,9.43,4.4,8,58.94,18-29,Established,False,False,0
39,Female,North America,Paid Search,Business,Monthly,11,294.35,3237.85,3,7,16.95,22.17,4,0,1,True,Invoice,8.8,60,31,0.333,0.067,1,236,16.39,36.8,26,98.12,30-44,Developing,False,False,0
44,Male,North America,Partner,Business,Annual,76,363.42,27619.92,7,38,51.44,74.47,1,1,0,False,Credit Card,7.2,38,5,0.542,0.125,0,35,53.76,37.2,0,51.92,30-44,Long-Term,True,True,0
